Career (Small List),Exact Matched Careers
Embroidery Machine Operator (Zigzag Machine),Embroidery Machine Operator (Zigzag Machine)
Eyelet Holing Machine Operator,Eyelet Holing Machine Operator
Fabric Checker,Fabric Checker
Finisher,"Finisher, Finisher"
"Frame Maker, Cap","Frame Maker, Cap"
Garment Cutter,Garment Cutter
Mattress Maker (Spring),Mattress Maker (Spring)
Measurement Checker,Measurement Checker
"Repairer, Fabrics","Repairer, Fabrics"
Sail and Awning Maker,Sail and Awning Maker
Sampling Tailor,Sampling Tailor
Self-Employed Tailor,Self-Employed Tailor
"Sewer, Hand","Sewer, Hand"
"Sewer, Tent (Hand)","Sewer, Tent (Hand)"
Sewing Machine Operator,Sewing Machine Operator
Sewing Machine Operator (Knits),Sewing Machine Operator (Knits)
Shirt Maker,Shirt Maker
Specialized Sewing Machine Operator,Specialized Sewing Machine Operator
"Supervisors and Foremen, Tailoring and Dress Making","Supervisors and Foremen, Tailoring and Dress Making"
"Tailor, General","Tailor, General"
"Textile, Leather and Related Pattern Makers and Cutters, Other","Textile, Leather and Related Pattern Makers and Cutters, Other"
Trouser Maker,Trouser Maker
Umbrella Maker,Umbrella Maker
"Upholsterer, Furniture","Upholsterer, Furniture"
Washing Machine Operator,"Washing Machine Operator, Washing Machine Operator"
Accessory Fitter,Accessory Fitter
Motor Cycle Assembler,Motor Cycle Assembler
Auto Body Painting Technician L3,Auto Body Painting Technician L3
Automotive Paint Shop Assistant,Automotive Paint Shop Assistant
Brazer,Brazer
Foundry Assistant,Foundry Assistant
Clutch Specialist,Clutch Specialist
Coding Machine Operator,Coding Machine Operator
Gas Cutter,Gas Cutter
"Glazier, Vehicle","Glazier, Vehicle"
Lathe Operator,Lathe Operator
Lead Burner,Lead Burner
Machining Assistant or Helper Level 2,Machining Assistant or Helper Level 2
Maintenance Assistant,Maintenance Assistant
Manager Process Engineering,Manager Process Engineering
Melting Assistant/Helper,Melting Assistant/Helper
Parts Picker Level 3,Parts Picker Level 3
Press Shop Assistant/Helper,Press Shop Assistant/Helper
QC Inspector Level 3,QC Inspector Level 3
QCP Attendant Level 2,QCP Attendant Level 2
"Adjuster, Relays","Adjuster, Relays, Adjuster, Relays"
Air Compressor Operator,"Air Compressor Operator, Air Compressor Operator"
Assembler (Plastic Product),"Assembler (Plastic Product), Assembler (Plastic Product)"
Assembler Dry Cell (Battery Manufacturing),Assembler Dry Cell (Battery Manufacturing)
"Assembler, Bicycle","Assembler, Bicycle, Assembler, Bicycle"
"Assembler, Continuity","Assembler, Continuity, Assembler, Continuity"
"Assembler, Metal Furniture","Assembler, Metal Furniture, Assembler, Metal Furniture"
Sewing Machine Assembler,"Sewing Machine Assembler, Sewing Machine Assembler"
"Assembler, Stationary Petrol Engine","Assembler, Stationary Petrol Engine, Assembler, Stationary Petrol Engine"
"Assembler, Textile Machinery","Assembler, Textile Machinery, Assembler, Textile Machinery"
Assistant Manual Metal Arc Welder,"Assistant Manual Metal Arc Welder, Assistant Manual Metal Arc Welder"
Assistant Oxy-Fuel Gas Cutter,Assistant Oxy-Fuel Gas Cutter
Ball Filing Machine Operator,"Ball Filing Machine Operator, Ball Filing Machine Operator"
Ball Lapping Machine Operator,"Ball Lapping Machine Operator, Ball Lapping Machine Operator"
Battery Assembler,"Battery Assembler, Battery Assembler"
Battery Repairer,"Battery Repairer, Battery Repairer"
Bending Machine Operator,"Bending Machine Operator, Bending Machine Operator"
Blacksmith,"Blacksmith, Blacksmith"
Boiler House Operative,"Boiler House Operative, Boiler House Operative"
Boiler Attendant,"Boiler Attendant, Boiler Attendant"
Boiler Fireman,"Boiler Fireman, Boiler Fireman"
Button Maker,"Button Maker, Button Maker"
"Coil Winder, Machine","Coil Winder, Machine, Coil Winder, Machine"
"Core Maker, Moulding (Hand)","Core Maker, Moulding (Hand), Core Maker, Moulding (Hand)"
"Core Maker, Vertical Pipe","Core Maker, Vertical Pipe, Core Maker, Vertical Pipe"
Machine Feeder and Offbearer,"Machine Feeder and Offbearer, Machine Feeder and Offbearer"
"Manager, Material Control","Manager, Material Control, Manager, Material Control"
Metal Spinner,"Metal Spinner, Metal Spinner"
"Oiler and Greaser, Stationary Engine, and Machinery","Oiler and Greaser, Stationary Engine, and Machinery"
Operator – Computer Numerically Controlled Electro Discharge Machine (Spark Erosion),Operator – Computer Numerically Controlled Electro Discharge Machine (Spark Erosion)
Operator – Conventional Surface Grinding Machines,Operator – Conventional Surface Grinding Machines
Operator - Shot Blasting and Grit Blasting,"Operator - Shot Blasting and Grit Blasting, Operator - Shot Blasting and Grit Blasting"
Machine Polisher,Machine Polisher
Polisher – Manual,Polisher – Manual
Profiling Machine Operator,"Profiling Machine Operator, Profiling Machine Operator"
"Rammer, Vertical Pipe Moulding","Rammer, Vertical Pipe Moulding, Rammer, Vertical Pipe Moulding"
Refiling Machine Operator,"Refiling Machine Operator, Refiling Machine Operator"
Roll Grinder,"Roll Grinder, Roll Grinder"
"Saw Grinder, Hand","Saw Grinder, Hand, Saw Grinder, Hand"
"Saw Grinder, Machine","Saw Grinder, Machine, Saw Grinder, Machine"
Stamper,"Stamper, Stamper"
Thread Grinder,"Thread Grinder, Thread Grinder"
Tin Coater,"Tin Coater, Tin Coater"
Turret and Capstan Lathe Operator,"Turret and Capstan Lathe Operator, Turret and Capstan Lathe Operator"
Vacuum Plastic Forming Machine Operator,"Vacuum Plastic Forming Machine Operator, Vacuum Plastic Forming Machine Operator"
Village Blacksmith,"Village Blacksmith, Village Blacksmith"
Wire Drawer,"Wire Drawer, Wire Drawer"
"Adjuster, Relays","Adjuster, Relays, Adjuster, Relays"
Air Compressor Operator,"Air Compressor Operator, Air Compressor Operator"
Assembler (Plastic Product),"Assembler (Plastic Product), Assembler (Plastic Product)"
Assembler Dry Cell,Assembler Dry Cell
"Assembler, Bicycle","Assembler, Bicycle, Assembler, Bicycle"
"Assembler, Continuity","Assembler, Continuity, Assembler, Continuity"
"Assembler, Electrical Accessories","Assembler, Electrical Accessories, Assembler, Electrical Accessories"
"Assembler, Metal Furniture","Assembler, Metal Furniture, Assembler, Metal Furniture"
Sewing Machine Assembler,"Sewing Machine Assembler, Sewing Machine Assembler"
"Assembler, Stationary Diesel Engine","Assembler, Stationary Diesel Engine"
"Assembler, Textile Machinery","Assembler, Textile Machinery, Assembler, Textile Machinery"
Assistant Manual Metal Arc Welder,"Assistant Manual Metal Arc Welder, Assistant Manual Metal Arc Welder"
Assistant Oxy Fuel Gas Cutter,Assistant Oxy Fuel Gas Cutter
Ball Filing Machine Operator,"Ball Filing Machine Operator, Ball Filing Machine Operator"
Ball Lapping Machine Operator,"Ball Lapping Machine Operator, Ball Lapping Machine Operator"
Battery Repairer,"Battery Repairer, Battery Repairer"
Battery Servicing Man,"Battery Servicing Man, Battery Servicing Man"
Bending Machine Operator,"Bending Machine Operator, Bending Machine Operator"
Blacksmith,"Blacksmith, Blacksmith"
Boiler House Operative,"Boiler House Operative, Boiler House Operative"
Boiler Attendant,"Boiler Attendant, Boiler Attendant"
Breaker Tender,"Breaker Tender, Breaker Tender"
Button Maker,"Button Maker, Button Maker"
Cementer (Plastic),"Cementer (Plastic), Cementer (Plastic)"
CNC Operator - Grinding Machine Centre,"CNC Operator - Grinding Machine Centre, CNC Operator - Grinding Machine Centre"
"Coil Winder, Machine","Coil Winder, Machine, Coil Winder, Machine"
"Core Maker, Vertical Pipe","Core Maker, Vertical Pipe, Core Maker, Vertical Pipe"
Die Copying Machine Operator,Die Copying Machine Operator
Exhaust Fan Operator,Exhaust Fan Operator
"Grinder, General","Grinder, General"
Grinder-Hand,Grinder-Hand
Lead Brush Maker,Lead Brush Maker
Machine Feeder and Offbearer,"Machine Feeder and Offbearer, Machine Feeder and Offbearer"
"Mechanical Engineer, Maintenance","Mechanical Engineer, Maintenance, Mechanical Engineer, Maintenance"
Metal Bluer,"Metal Bluer, Metal Bluer"
Metal Spinner,"Metal Spinner, Metal Spinner"
"Oiler and Greaser, Stationary Engine and Machinery","Oiler and Greaser, Stationary Engine and Machinery"
Operator - Conventional Surface Grinding Machine,Operator - Conventional Surface Grinding Machine
Operator - Shot Blasting and Grit Blasting,"Operator - Shot Blasting and Grit Blasting, Operator - Shot Blasting and Grit Blasting"
Painting Technician (Spray Painting),"Painting Technician (Spray Painting), Painting Technician (Spray Painting)"
Polisher – Machine,Polisher – Machine
Manual Polisher,Manual Polisher
Power Hammer Operator,"Power Hammer Operator, Power Hammer Operator"
"Rammer, Vertical Pipe Moulding","Rammer, Vertical Pipe Moulding, Rammer, Vertical Pipe Moulding"
Refiling Machine Operator,"Refiling Machine Operator, Refiling Machine Operator"
Roll Grinder,"Roll Grinder, Roll Grinder"
"Saw Grinder, Hand","Saw Grinder, Hand, Saw Grinder, Hand"
"Saw Grinder, Machine","Saw Grinder, Machine, Saw Grinder, Machine"
"Setter, Drop Forging Machine","Setter, Drop Forging Machine, Setter, Drop Forging Machine"
Stamper,"Stamper, Stamper"
"Stationary Engine Driver, Steam","Stationary Engine Driver, Steam, Stationary Engine Driver, Steam"
Thread Grinder,"Thread Grinder, Thread Grinder"
Tin Coater,"Tin Coater, Tin Coater"
Tinsmith,"Tinsmith, Tinsmith"
Turret and Capstan Lathe Operator,"Turret and Capstan Lathe Operator, Turret and Capstan Lathe Operator"
Vacuum Plastic Forming Machine Operator,"Vacuum Plastic Forming Machine Operator, Vacuum Plastic Forming Machine Operator"
Village Blacksmith,"Village Blacksmith, Village Blacksmith"
Concrete Moulder,Concrete Moulder
Fettler (Brick &amp; Tile),Fettler (Brick &amp; Tile)
Helper Fabrication,Helper Fabrication
Industrial Painter,Industrial Painter
Polishing Machine Operator (Mosaic),Polishing Machine Operator (Mosaic)
Riveter,Riveter
"Stone Cutter, Hand","Stone Cutter, Hand"
"Stone Dresser, Hand","Stone Dresser, Hand"
"Stone Polisher, Hand","Stone Polisher, Hand"
Tar Supervisor,Tar Supervisor
Tile Presser (Mosaic),Tile Presser (Mosaic)
Assembler Precision Instrument,Assembler Precision Instrument
"Assembler, Refrigerator and Air Conditioning Unit","Assembler, Refrigerator and Air Conditioning Unit"
Assembly Line Operator,Assembly Line Operator
Assembly Operator – TV,Assembly Operator – TV
Assembly Operator (Radio Manufacturing),Assembly Operator (Radio Manufacturing)
Bare Board Testing Operator,Bare Board Testing Operator
Box Assembly Operator,Box Assembly Operator
Box-building Assembly Technician,Box-building Assembly Technician
"Cable Maker, Rack Wiring (Telephone Equipment Manufacturing)","Cable Maker, Rack Wiring (Telephone Equipment Manufacturing)"
Disk Duplicator,Disk Duplicator
Electrical Assembly Operator-Control Panel,Electrical Assembly Operator-Control Panel
Field Technician - Other Home Appliances,Field Technician - Other Home Appliances
"Form Layer, Cable","Form Layer, Cable"
In-Circuit Testing Machine Operator,In-Circuit Testing Machine Operator
Injection Moulding Operator,"Injection Moulding Operator, Injection Moulding Operator"
LED Light Mechanical Assembly Operator,LED Light Mechanical Assembly Operator
LED Light Repair Technician,LED Light Repair Technician
Manual Soldering Technician,Manual Soldering Technician
Mechanical Assembly Operator,Mechanical Assembly Operator
"Operator, Rack Wiring (Telephone Equipment Manufacturing)","Operator, Rack Wiring (Telephone Equipment Manufacturing)"
PCB Assembly Operator,PCB Assembly Operator
Pick and Place Assembly Operator,Pick and Place Assembly Operator
Pressing Machine Operator,Pressing Machine Operator
RAC Assembly Operator,RAC Assembly Operator
Silicone Painting Operator,Silicone Painting Operator
Solder Masking and Legend Printing Operator,Solder Masking and Legend Printing Operator
Sorting Operator,Sorting Operator
Through Hole Assembly Operator,Through Hole Assembly Operator
UPS Assembly Operator,UPS Assembly Operator
Wave Soldering Machine Operator,Wave Soldering Machine Operator
Winding Operator,Winding Operator
Blade Sawing Supervisor,Blade Sawing Supervisor
Bruting Supervisor,Bruting Supervisor
Casting Machine Operator,Casting Machine Operator
"Embosser, Sheet","Embosser, Sheet"
Engraver,Engraver
Filer and Assembler,Filer and Assembler
"Gem Grinder, Hand","Gem Grinder, Hand"
Gem Grinder,Gem Grinder
Hand Gem Polisher,Hand Gem Polisher
"Gem Polisher, Machine","Gem Polisher, Machine"
Gemstone Girdle Polisher,Gemstone Girdle Polisher
Gemstone Polisher,Gemstone Polisher
Gemstone Pre-Shaper,Gemstone Pre-Shaper
Gemstone Rough Cutter,Gemstone Rough Cutter
Gemstone Thread Maker,Gemstone Thread Maker
Gold Foil Maker,Gold Foil Maker
Goldsmith,Goldsmith
"Inlayer, Metal","Inlayer, Metal"
Jewellery Engraver,Jewellery Engraver
Jewellery Polisher,Jewellery Polisher
Labeller,Labeller
Metal Setter,Metal Setter
Packager,Packager
Polished Grader &amp; Assorter: Advance,Polished Grader &amp; Assorter: Advance
Polisher and Cleaner,Polisher and Cleaner
Gold and Silver Roller,Gold and Silver Roller
Supervisor Faceting and Polishing,Supervisor Faceting and Polishing
Symmetry Analyser Machine Operator,Symmetry Analyser Machine Operator
Table Cutter,Table Cutter
Tagger and Labeller,Tagger and Labeller
Wax Piece Maker,Wax Piece Maker
Wax Setter (Basic),Wax Setter (Basic)
Wax Tree Maker,Wax Tree Maker
Assembler Hand,Assembler Hand
Bark Pitman (Tanning),Bark Pitman (Tanning)
Belt Maker,Belt Maker
Buffing Operator,Buffing Operator
Case Finisher (Leather Product),Case Finisher (Leather Product)
Counter Moulder,Counter Moulder
Cutter (Footwear),Cutter (Footwear)
Cutter (Goods and Garments),Cutter (Goods and Garments)
Hand Cutter,Hand Cutter
"Dehairer, Hand","Dehairer, Hand"
"De-hairer, Machine","De-hairer, Machine"
Drum Operator,Drum Operator
Edge Burnisher,Edge Burnisher
Leather Embosser,Leather Embosser
Footwear Examiner,Footwear Examiner
Eyeletting Machine Operator,Eyeletting Machine Operator
Fleshing Operator,Fleshing Operator
"Heel Attacher, Hand (Foot Wear)","Heel Attacher, Hand (Foot Wear)"
"Heel Builder, Machine (Foot-Wear)","Heel Builder, Machine (Foot-Wear)"
Heel Padding Machine Operator,Heel Padding Machine Operator
Helper-Bottom Making (Footwear),Helper-Bottom Making (Footwear)
Helper-Finishing (Footwear),Helper-Finishing (Footwear)
Helper-Finishing (Leather Goods &amp; Garments),Helper-Finishing (Leather Goods &amp; Garments)
Helper-Finishing Operation-Finished-Leather,Helper-Finishing Operation-Finished-Leather
Helper-Parts Making (Leather Goods &amp; Garments),Helper-Parts Making (Leather Goods &amp; Garments)
Helper-Upper Making (Footwear),Helper-Upper Making (Footwear)
Helper-Wet Operations (Finished Leather),Helper-Wet Operations (Finished Leather)
"Hide Splitter, Machine","Hide Splitter, Machine"
Leather Currier,Leather Currier
"Leather Cutter, Hand","Leather Cutter, Hand"
"Leather Cutter, Machine","Leather Cutter, Machine"
"Leather Glazer, Machine","Leather Glazer, Machine"
Leather Measuring Machine Man,Leather Measuring Machine Man
"Lime Pitman, Leather","Lime Pitman, Leather"
"Nailer, Machine","Nailer, Machine"
Post Tanning Machine Operator,Post Tanning Machine Operator
Rivetting Machine Operator,Rivetting Machine Operator
Roller Coverer,Roller Coverer
Rolling Machine Operator (Leather),Rolling Machine Operator (Leather)
Sample Maker (Goods and Garments),Sample Maker (Goods and Garments)
"Seasoner, Leather","Seasoner, Leather"
Sewing Machine Operator (Saddlery),Sewing Machine Operator (Saddlery)
Shaving Operator,Shaving Operator
"Shoe Repairer, Cobbler","Shoe Repairer, Cobbler"
